title,instructor,description,type,difficulty,num_reviews,rating,price,url
The Complete Digital Marketing Course - 12 Courses in 1,"['Rob Percival', 'Daragh Walsh', 'Codestars by Rob Percival']","Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!",marketing,All Levels,"(148,273)",4.5,True,https://www.udemy.com/course/learn-digital-marketing-course/
Ultimate Google Ads Training 2021: Profit with Pay Per Click,['Isaac Rudansky'],Google Ads 2021: How our clients have transformed their sales using Google Ads & get your Google Ads certification!,marketing,All Levels,"(47,341)",4.6,True,https://www.udemy.com/course/the-ultimate-google-adwords-training-course/
Instagram Marketing 2022: Complete Guide To Instagram Growth,"['Benjamin Wilson', 'Entrepreneur Academy']","Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",marketing,All Levels,"(32,633)",4.5,True,https://www.udemy.com/course/instagram-marketing-for-small-businesses/
Facebook Ads & Facebook Marketing MASTERY 2022 | Coursenvy ®,['COURSE ENVY'],"Facebook Marketing from beginner to advanced! Join 100,000+ students who MASTERED Facebook and are Facebook Ads experts!",marketing,All Levels,"(30,102)",4.5,True,https://www.udemy.com/course/facebook-ads-facebook-marketing-mastery-guide/
Digital Marketing Masterclass - 23 Marketing Courses in 1,"['Phil Ebiner', 'Diego Davila • 650.000+ Students', 'Video School']","Learn Social Media Marketing, Facebook Marketing, Content Marketing, YouTube Marketing, Email Marketing, SEO, Branding+",marketing,All Levels,"(18,938)",4.5,True,https://www.udemy.com/course/digital-marketing-masterclass/
Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,['COURSE ENVY'],"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy ®",marketing,All Levels,"(17,492)",4.5,True,https://www.udemy.com/course/social-media-marketing-ads/
The Complete Copywriting Course : Write to Sell Like a Pro,"['Codestars by Rob Percival', 'Tamsin Henderson', 'Rob Percival']","Write Effective Sales Copy & Grow Your Business & Career // Access Timeless Copywriting Formulas, Templates & FREE Tools",marketing,All Levels,"(16,256)",4.6,True,https://www.udemy.com/course/the-complete-copywriting-course/
Google Analytics Certification - Become Analytics Certified!,['Daragh Walsh'],How to Pass the Google Analytics Certification Exam Quickly & Become Google Analytics Certified. No Experience Required!,marketing,All Levels,"(15,768)",4.4,True,https://www.udemy.com/course/google-analytics-certification/
SEO 2022: Complete SEO Training + SEO for WordPress Websites,['Arun Nagarathanam'],"Competitor + Keyword Research, On Page + Technical SEO, Core Web Vitals, Pagespeed, Backlinks SEO & WordPress Training",marketing,All Levels,"(15,226)",4.5,True,https://www.udemy.com/course/seo-get-to-number1-in-google-search/
SQL for NEWBS: Weekender Crash Course,"[""A Course You'll Actually Finish"", 'David Kim', 'Peter Sefton']","Using MySQL but applicable to Oracle SQL, Microsoft SQL Server, and PostgreSQL. Taught by a Data Scientist and PM.",marketing,All Levels,"(14,328)",4.1,True,https://www.udemy.com/course/sql-for-newbs/
Mega Digital Marketing Course A-Z: 12 Courses in 1 + Updates,"['Pouya Eti • Digital Marketing Expert', 'Alireza Etemadi | Marketing Strategy Expert |']","Digital Marketing Strategy, Social Media Marketing, WordPress, SEO, Digital Sale, Email, Instagram, Facebook, ads ..",marketing,All Levels,"(10,324)",4.6,True,https://www.udemy.com/course/digital-marketing-strategy-course-wordpress-seo-instagram-facebook/
Social Media Marketing - Complete Certificate Course,['SO ME Academy'],"The comprehensive social media course, beginner to advanced. Go viral, get started today!",marketing,All Levels,"(10,282)",4.1,True,https://www.udemy.com/course/learn-social-media-marketing-course/
YouTube Masterclass - Your Complete Guide to YouTube,"['Phil Ebiner', 'Michael Moyer', 'Video School']","Complete guide to starting a YouTube channel, getting more views & subscribers, and building a brand with videos!",marketing,All Levels,"(9,824)",4.3,True,https://www.udemy.com/course/youtube-masterclass/
"Instagram Marketing 2022: Hashtags, Live, Stories, Ads &more",['Evan Kimbrell'],"Watch me take an account from an idea to 40k followers in 4 months. 14 hours instruction, 8 hours of BTS videos",marketing,All Levels,"(8,693)",4.5,True,https://www.udemy.com/course/instagram-masterclass-grow-your-account-complete-guide/
ClickBank Success – Affiliate Marketing Without A Website,['KC Tan'],Learn and model my proven system for success as a ClickBank affiliate. No hidden secrets - I reveal it all!,marketing,All Levels,"(8,335)",4.3,True,https://www.udemy.com/course/clickbank-affiliate-marketing-success/
[2022] Growth Hacking with Digital Marketing (Version 7.4),"['Davis Jones', 'Eazl (Official)', 'Maja Voje']","Become a growth hacker! This course is used by teams at PayPal®, IBM®, Citibank® & many other successful organizations!",marketing,All Levels,"(7,124)",4.4,True,https://www.udemy.com/course/growth-hacking-masterclass-become-a-digital-marketing-ninja/
