title,instructor,description,type,difficulty,num_reviews,rating,price,url
Pianoforall - Incredible New Way To Learn Piano & Keyboard,['Robin Hall'],"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",music,All Levels,"(40,841)",4.7,True,https://www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/
Complete Guitar Lessons System - Beginner to Advanced,['Erich Andreas'],"All-in-one Guitar Course, Fingerstyle Guitar, Blues Guitar, Acoustic Guitar, Electric Guitar & Fingerpicking Guitarra",music,All Levels,"(34,946)",4.6,True,https://www.udemy.com/course/complete-guitar-system-beginner-to-advanced/
"Music Theory Comprehensive Complete! (Parts 1, 2, & 3)",['Jason Allen'],"A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",music,Beginner,"(17,808)",4.7,True,https://www.udemy.com/course/music-theory-complete/
Music + Audio Production in Logic Pro X - The Complete Guide,['Make Pro Music'],"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",music,All Levels,"(12,046)",4.5,True,https://www.udemy.com/course/music-production-in-logic-pro-x-course/
Music Production in Logic Pro X - The Complete Course!,"['Tomas George', 'Christopher Carvalho', 'Ian Alexander', 'Digital Music Masters']","Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X",music,All Levels,"(10,337)",4.7,True,https://www.udemy.com/course/thecompletelogicprox/
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3",['Jason Allen'],"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",music,Beginner,"(7,589)",4.6,True,https://www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/
Ultimate Beginner Guitar Masterclass,['Henry Olsen'],"Beginner Guitar Lessons: Learn Acoustic Guitar, Blues Guitar, Basic Fingerstyle Guitar, Guitar Chords, Guitar Technique",music,Beginner,"(6,375)",4.6,True,https://www.udemy.com/course/beginner-guitar-masterclass/
FL Studio 20 - Music Production In FL Studio for Mac & PC,"['Martin Svensson', 'Music-Prod Education']","Music Production in FL Studio 20 - Make 3 Full Tracks - Manage FL Studio in Just One Day, Music, Mixing & Mastering",music,All Levels,"(6,195)",4.5,True,https://www.udemy.com/course/fl-studio/
"Learn to play HARMONICA, the easiest instrument to pick up!",['Ben Hewlett'],"Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",music,All Levels,"(6,171)",4.5,True,https://www.udemy.com/course/benhewlettharmonicatuitionultimate-harmonica-course/
The Professional Guitar Masterclass,['Michael Palmisano'],Learn The Tools Used By The World's Top Professional Guitar Players.,music,All Levels,"(5,706)",4.5,True,https://www.udemy.com/course/the-professional-guitar-masterclass/
BECOME A GREAT SINGER: Your Complete Vocal Training System,['Robert Lunte'],"Immediately Improve Your Singing. (Any Level, Any Style)",music,All Levels,"(5,331)",4.3,True,https://www.udemy.com/course/become-a-great-singer-your-complete-vocal-training-system/
Music Production in Ableton Live 10 - The Complete Course!,"['Tomas George', 'Digital Music Masters']","Learn Music Production in Ableton Live 10 Today and Understand how to Create, Record and Edit Your Own Music + Live Sets",music,All Levels,"(5,140)",4.7,True,https://www.udemy.com/course/abletonlive10/
Read Music FAST!,['Benedict Westenra'],Learn to read music using my unique method: just see a note on a piano score and play it on the keyboard straight away,music,Beginner,"(4,851)",4.8,True,https://www.udemy.com/course/sight-reading/
How to Become a DJ - Learn How to Start DJing Online Today,['Ross Palmer'],"Professional DJ School - 11 hours of high-quality content. Former students on: Armada, Spinnin, Ultra, Revealed, & more!",music,All Levels,"(4,034)",4.6,True,https://www.udemy.com/course/online-dj-course/
Game Music Composition: Make Music For Games From Scratch,['Karleen Heong'],"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",music,All Levels,"(3,743)",4.6,True,https://www.udemy.com/course/gamemusiccourse/
Acoustic Guitar and Electric Guitar Lessons: Getting Started,['Erich Andreas'],"Acoustic Guitar Theory, Fingerpicking, Fretting, Chords: Most Important 25 Videos For Getting Started w/ Playing Guitar",music,Beginner,"(3,707)",4.4,True,https://www.udemy.com/course/getting-started-with-playing-guitar/
