title,instructor,description,type,difficulty,num_reviews,rating,price,url
Cognitive Behavioural Therapy (CBT) Practitioner Course,"['Kain Ramsay', 'The Academy of Modern Applied Psychology']",Become a Certified Cognitive Behavioural Therapy (CBT) Practitioner and elevate your understanding of human behaviour.,health-and-fitness,All Levels,"(31,215)",4.6,True,https://www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/
Therapeutic Art Life Coach Certification  (Accredited),"['Joeel & Natalie Rivera', 'Victoria Hawkins', 'Transformation Services']","Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More",health-and-fitness,All Levels,"(12,231)",4.3,True,https://www.udemy.com/course/art-therapy-life-coach-certification/
Herbalism :: Introduction & Medicine Making Certificate,['Elizabeth Heck'],"Take charge of your health with herbal medicine. Using herbs and natural holistic medicine is easy, effective and safe.",health-and-fitness,All Levels,"(10,874)",4.7,True,https://www.udemy.com/course/herbalism-medicine-making/
Internationally Accredited Diploma Certificate in Nutrition,"['Akash Sehrawat', 'Fabulous Body', 'Teaching Assistant']",Learn how to eat healthy and understand the fundamentals of nutrition science,health-and-fitness,All Levels,"(9,817)",4.4,True,https://www.udemy.com/course/internationally-accredited-diploma-certificate-in-nutrition/
Complete Fitness Trainer Certification: Beginner To Advanced,['Felix Harder'],"Become A Fitness Coach: Create Muscle Growth & Fat Loss Workouts, Build A Fitness Training Business & Be A Health Expert",health-and-fitness,All Levels,"(6,696)",4.6,True,https://www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/
15 Minutes x 15 Days Yoga Mobility Challenge,['Abi Carver'],"Increase your flexibility and range of motion, energise your body and improve your yoga skills in 15 minutes a day.",health-and-fitness,Intermediate,"(6,275)",4.6,True,https://www.udemy.com/course/yoga-mobility-challenge-15-minutes-x-15-days-66/
Diet And Nutrition Coach Certification: Beginner To Advanced,['Felix Harder'],"Become A Nutrition Coach: Create Muscle Growth & Fat Loss Meal Plans, Build A Fitness Diet Business & Be A Health Expert",health-and-fitness,All Levels,"(5,785)",4.6,True,https://www.udemy.com/course/diet-nutrition-coach-certification-beginner-to-advanced/
Nutrition Masterclass: Build Your Perfect Diet & Meal Plan,['Felix Harder'],"Learn The Truth About Nutrition, Dieting For Weight Loss, Building Muscle, Healthy Eating, Meal Planning, Fat Loss",health-and-fitness,All Levels,"(5,688)",4.6,True,https://www.udemy.com/course/nutrition-masterclass-build-your-perfect-diet-meal-plan/
Aromatherapy- Using Essential Oils For Natural Living (5 CE),['Mark Perren-Jones'],"Aromatherapy-Blend Aromatherapy Essential Oils By The Notes, Beauty Products, Cleaning Products, Balms And Scrubs !",health-and-fitness,All Levels,"(5,357)",4.7,True,https://www.udemy.com/course/aromatherapy-how-to-use-essential-oils-in-your-everyday-life/
Elevate Your Tennis Game: Learn from Champion Andre Agassi,['Andre Agassi'],Level up your tennis game with the next best thing to a private lesson. Master insider secrets and a winner’s mindset.,health-and-fitness,Intermediate,"(5,159)",4.5,True,https://www.udemy.com/course/andreagassi/
Learn Meditation with Certification to Guide Others,['Melissa Crowhurst'],"Learn meditation for stress relief, mindfulness, anxiety & more! Includes 10 guided audios & Meditation Certificate",health-and-fitness,All Levels,"(5,082)",4.7,True,https://www.udemy.com/course/learn-to-meditate/
Kids Yoga Teacher Training Certificate Course - Ages 2-17,['Jessica Fleming'],"Confidently teach fun, safe and engaging yoga classes to kids aged 2 to 17 years - Kids Yoga Business Training included!",health-and-fitness,All Levels,"(5,082)",4.7,True,https://www.udemy.com/course/kids-yoga-teacher-training-certificate-course/
Sit Less Move More - Office Desk Exercise To Improve Posture,['Posture Videos'],"Helping people and the organizations they work for – engage, flourish and thrive with daily office-based body movement!",health-and-fitness,All Levels,"(4,655)",4.5,True,https://www.udemy.com/course/sit-less-move-more-office-desk-exercise-to-improve-posture/
Become a SuperHuman: Naturally & Safely Boost Testosterone,"['Jonathan Levi', 'SuperHuman Academy®']","Hack diet, exercise, & habits to safely boost your testosterone; the motivation, fitness, health, & happiness super drug",health-and-fitness,All Levels,"(4,623)",4.7,True,https://www.udemy.com/course/become-a-superhuman-naturally-safely-boost-testosterone/
"""Breath is Life"" Breathwork & Meditation course",['Michaël Bijker'],"Tap into the power of your breath and develop health, happiness and inner richness. A complete breathwork course.",health-and-fitness,All Levels,"(4,450)",4.7,True,https://www.udemy.com/course/breathing/
Isla Verde Spa Relaxation Massage Certificate Course,['Mark Perren-Jones'],This is a Complete Massage Course That Will Teach You Everything That You Need to Know to Give Amazing Massages,health-and-fitness,All Levels,"(4,337)",4.7,True,https://www.udemy.com/course/award-winning-isla-verde-spa-relaxation-massage-masterclass/
